ID,Text,Label
@Islami932,শিবির একটি আদর্শ সংগঠন,1
@sumonaakther4303,জামাত বেস্ট,1
@HabibHujut,ইসলামী ছাত্রশিবির জিন্দাবাদ ❤️☝️,1
@mdsujan9311,ছাত্রশিবিরের সভাপতি এটা গর্ব করার কোন দরকার ছিল না তখন তখন দরকার ছিল এক দফা এক দাবি বড় বড় কথা বলছে ছাত্রলীগের সভাপতি সাদ্দাম এখন কোথায় পদ পদবী থাকলে দেখায় দেখানো দরকার নেই সময়ই কথা বলে দেয় কে যোগ্য নেতৃত্ব দিতে পারে এটাই হলো ছাত্রশিবির,1
@KadijaKadija-e2m,❤,1
@gyasuddinahmad2062,Each n every member of Chatra Shibir is a piece of gold.,1
@jakirislam2490,ছাত্র শিবির জিন্দাবাদ,1
@sadekhossain-fn3zh,I love u shibir,1
@AllloveisforAllah,বাংলাদেশের সবচাইতে সুশৃংখল ভদ্র ছেলেরা হচ্ছে ছাত্রশিবির,1
@SamiulIslam-ch1bd,দেশ স্বাধীন করে আজ আমরা অন্যায়ের কাছে হার মানতে হচ্ছে এটা কেমন বৈষম্য হলো ইসলামিক ছাত্র শিবির উল্লাপাড়া সভাপতি নাম্বার চাই,0
@harunarrashid7325,ছাত্রশিবির জিন্দাবাদ,1
@masumbillah2335,খুব কাছ থে‌কেই দে‌খে‌ছি শিবির‌কে!<br>ওরা বাংলা‌দে‌শের তরুণ ছাত্রসমা‌জের আ‌লোর প‌থের দিশারী।,1
@yeasinarafat5465,বিশ্ববিদ্যালয় থেকে ছাত্র  রাজনীতি  নিষিদ্ধ করা হোক,0
@ArifHafez-w5i,আমি শি‌বির দ‌লের এক কর্মী হ‌তে চাই ।,1
@EntertainmentbyBarishaillah,"sheikh hasinar pa chattaaa sala beiman TV chanel, ekhon hasina hasina , nam tao thik moto nish na... tor hasina r pa er nokh er joggota ase?",0
@TanvirAhmed-qd1ck,ছাত্রশিবির,1
@AbdulHalim-ng6cd,"আলহামদুলিল্লাহ, পরিচয় দেওয়া টা প্রয়োজন ছিলো।",1
@sayefmdsaifullah3989,অসাধারণ!,1
@prophesy1000,আলহামদুলিল্লাহ,1
@tahminaema2827,শিবির ভালো মানুষ গড়ার কারখানা,1
@dailydose1939,শিবিরের কয়জন মারা গেছে আন্দলোনে?,2
@abusadektuitalhshhs9959,আলহামদুলিল্লাহ! প্রতিবেদনটা শুনে কলিজাটা ঠান্ডা হয়ে গেল।,1
@alalhossain-bd8ye,রাজাকারের মাথায় বাংলাদেশের পতাকা আর গুন্ডালীগের হাতে বন্দুক,0
@MoniraKhatun-x3y,Bangladesh Islami sattro shibir.,2
@me-ip8tw,ফালতু,0
@mdazad547,ইসলামি ছাত্রশিবির রাজনৈতিক দরকার আছে,1
@saifuddinmohammadSaleh,মাশাআল্লাহ ❤,1
@muhammadsaifullah304,Satroshibir jibdavad,1
@mdkiron6201,বাংলাদেশ জামায়াতে ইসলাম জিন্দাবাদ।,1
@MdSajinulIslamSifat1,দাড়ি কই মিয়া,0
@tofailahmed-ur4ms,দূর ভাই হিসাব মিলছেনা 😒<br><br>বিএনপি দাবি করে আন্দোলনের মূল কারিগর তারা তাইলে এসব জায়গায় শিবির কোথা থেকে আসে 😀<br><br>ফেক্ট: ঢাবি শিবির সভাপতি,0
@rejaulkarim837,ইসলামী ছাত্র শিবির জিন্দাবাদ,1
@MdTahier-hz5ff,"তাকে গ্রেফতার করা উচিৎ ছিলো ছাএ শিবির কর্মীরা কি ৭১ সালে অপরাধ দায়িত্ব নিবে।৭১সালে অপরাধ করছে জামত ইসলামি, তারা এখনো পর্যন্ত। দেশের মানুষ কাছে ক্ষমা চায় নাই জামাত ইসলামি।",0
@konalkitchenbd,"আলহামদুলিল্লাহ
<br>কলিজা শীতল করা একটা ভিডিও
<br>এভাবেই সামনের দিকে এগিয়ে যাও কলিজার ভাইয়েরা
<br>দোয়া ও ভালবাসা রইল",1
@freefreedom5521,আমার হলের বড় ভাই❤,2
@MdAmin-tm6gq,"দুই টা সিট নিয়ে এতো তাল বাহানা, সরমভরম কিছুই নেই এদের,",0
@MdAmin-tm6gq,"ইতে সভাপতি হয়েছে কি হয়েছে, তার মতো বোরি বোরি সভাপতি ভাত নাই 😂😂😂😂😂",0
@MamunSarkar-f7y,Bangladesh islami Chatro  shibir zindabad,1
@rahim54qatar40,তাতে তোমাদের সমস্যা কি সে জামাতে ইসলাম করে শিবির করে এক কথায় সে একজন ছাত্র সে দেশের জন্য কাজ করছে তারকা অধিকার নাই কোন দল করার একটা সুতা পাইলে তার পুটকিমারার লেগে বসে থাকো নিউজার পাওনা তো নিউজ এগুলো বানাও সে জামাত করুক বিএনপি করুক যাই করুক সে কাজ করছে বাংলাদেশের জন্য যে সরকার ছিল তারে তাড়ানোর জন্য সে ব্যবস্থা করছে এখন তার পুটকিমারার লগে বইসা রইছো খানকির পোলারা 15 মাসের 15 বছর কি পুটকিমারা দিছো তখন কথা কওনা কেনো বালের আর নিউজ পায় না এসব নিউজ নিয়ে খালি নিউজ দেশের খবর ক দেশের বাংলাদেশের যেগুলো দরকারি খবর ওগুলো বল বাইনচোদ,1
@mdmahadihassan-qi5mv,এটিন নিউজকে ধন্যবাদ,1
@mdalomgirhossain4953,আরে হলুদ মিডিয়ার বাচ্চারা জামাত ইসলাম সবসময় সক্রিয় ছিল আমরা আমরা দেখেছি দেখেছি দেখেছি কতবার বলবো,1
@msafsana8519,"কলিজা ডা ঠাণ্ডা হয়ে গেল নিউজ শুয়ে,,,আলহামদুলিল্লাহ ।আল্লাহ এমন ছেলেদের দীর্ঘ আয়ু দান করুন। আমীন।",1
@asadakhon5985,আলহামদুলিল্লাহ  আমি এতদিন এটাই  ভাবছি এটা ছাএশিবিরের  কাজ কারন অন্যরা কখনো বন্ধুকের সামনে বুক পাতে নাহ ❤️🥰,1
@jayedhassan5894,No need student politics ❌❌❌,0
